TicketID,Status,Created_At,Region_Cluster,Item_Code,Type_Of_Tickets
NHC-NUP-580398,opened,2024-03-12 17:05,Riyadh First Health Cluster,126650024,Out of stock
NHC-NUP-580397,opened,2024-03-12 17:05,Riyadh Second Health Cluster,551066400,Out of stock
NHC-NUP-580396,opened,2024-03-12 17:05,Riyadh Second Health Cluster,126650600,Out of stock
NHC-NUP-580395,opened,2024-03-12 17:05,Riyadh Second Health Cluster,551064435,Out of stock
NHC-NUP-580394,opened,2024-03-12 17:05,Riyadh First Health Cluster,126650100,Out of stock
NHC-NUP-580393,opened,2024-03-12 17:05,Riyadh Second Health Cluster,137230215,Out of stock
NHC-NUP-580392,opened,2024-03-12 17:05,Riyadh Second Health Cluster,126750125,Out of stock
NHC-NUP-580391,opened,2024-03-12 17:05,Riyadh Second Health Cluster,126651245,Out of stock
NHC-NUP-580390,opened,2024-03-12 17:04,Riyadh Second Health Cluster,128220160,Out of stock
NHC-NUP-580389,opened,2024-03-12 17:04,Riyadh Third Health Cluster,126750016,Out of stock
NHC-NUP-580388,opened,2024-03-12 17:04,Riyadh Second Health Cluster,551064440,Out of stock
NHC-NUP-580387,opened,2024-03-12 17:04,Riyadh Second Health Cluster,551064440,Out of stock
NHC-NUP-580386,opened,2024-03-12 17:04,Riyadh First Health Cluster,226750647,Out of stock
NHC-NUP-580385,opened,2024-03-12 17:04,Riyadh Second Health Cluster,551064435,Out of stock
NHC-NUP-580384,opened,2024-03-12 17:04,Riyadh Second Health Cluster,551066400,Out of stock
NHC-NUP-580383,opened,2024-03-12 17:04,Riyadh Second Health Cluster,551066400,Out of stock
NHC-NUP-580382,opened,2024-03-12 17:04,Riyadh Second Health Cluster,551064435,Out of stock
NHC-NUP-580381,opened,2024-03-12 17:04,Riyadh Second Health Cluster,551064435,Out of stock
NHC-NUP-580380,opened,2024-03-12 17:04,Riyadh Third Health Cluster,126750045,Out of stock
NHC-NUP-580379,opened,2024-03-12 17:03,Riyadh Second Health Cluster,126750127,Out of stock
NHC-NUP-580378,opened,2024-03-12 17:03,Riyadh Second Health Cluster,126650078,Out of stock
NHC-NUP-580377,opened,2024-03-12 17:03,Riyadh Third Health Cluster,126650108,Out of stock
NHC-NUP-580376,opened,2024-03-12 17:03,Riyadh Second Health Cluster,126750127,Out of stock
NHC-NUP-580375,opened,2024-03-12 17:03,Riyadh First Health Cluster,128220161,Out of stock
NHC-NUP-580374,opened,2024-03-12 17:03,Riyadh Second Health Cluster,126650600,Out of stock
NHC-NUP-580373,opened,2024-03-12 17:03,Riyadh Second Health Cluster,126650024,Out of stock
NHC-NUP-580372,opened,2024-03-12 17:03,Riyadh Second Health Cluster,126750127,Out of stock
NHC-NUP-580371,opened,2024-03-12 17:03,Riyadh Second Health Cluster,226750647,Out of stock
NHC-NUP-580370,opened,2024-03-12 17:03,Riyadh Second Health Cluster,128290116,Out of stock
NHC-NUP-580369,opened,2024-03-12 17:03,Riyadh Second Health Cluster,551064435,Out of stock
NHC-NUP-580368,opened,2024-03-12 17:03,Riyadh First Health Cluster,551064440,Out of stock
NHC-NUP-580367,opened,2024-03-12 17:02,Riyadh Second Health Cluster,126650098,Out of stock
NHC-NUP-580366,opened,2024-03-12 17:02,Riyadh First Health Cluster,551064435,Out of stock
NHC-NUP-580365,opened,2024-03-12 17:02,Riyadh Second Health Cluster,126750127,Out of stock
NHC-NUP-580364,opened,2024-03-12 17:02,Riyadh Second Health Cluster,126650078,Out of stock
NHC-NUP-580363,opened,2024-03-12 17:02,Riyadh Second Health Cluster,126651240,Out of stock
NHC-NUP-580362,opened,2024-03-12 17:02,Riyadh Second Health Cluster,551066400,Out of stock
NHC-NUP-580361,opened,2024-03-12 17:02,Riyadh Second Health Cluster,548034523,Out of stock
NHC-NUP-580360,opened,2024-03-12 17:02,Riyadh Third Health Cluster,226650312,Out of stock
NHC-NUP-580359,opened,2024-03-12 17:02,Riyadh First Health Cluster,551064440,Out of stock
NHC-NUP-580358,opened,2024-03-12 17:02,Riyadh First Health Cluster,548034523,Out of stock
NHC-NUP-580357,opened,2024-03-12 17:02,Riyadh First Health Cluster,126650078,Out of stock
NHC-NUP-580356,opened,2024-03-12 17:01,Riyadh Second Health Cluster,126650062,Out of stock
NHC-NUP-580355,opened,2024-03-12 17:01,Riyadh First Health Cluster,137230215,Out of stock
NHC-NUP-580354,opened,2024-03-12 17:01,Riyadh Third Health Cluster,124990050,Out of stock
NHC-NUP-580353,opened,2024-03-12 17:01,Riyadh Second Health Cluster,551066400,Out of stock
NHC-NUP-580352,opened,2024-03-12 17:01,Riyadh Second Health Cluster,551066400,Out of stock
NHC-NUP-580351,opened,2024-03-12 17:01,Riyadh Second Health Cluster,551064435,Out of stock
NHC-NUP-580350,opened,2024-03-12 17:01,Riyadh Second Health Cluster,226650312,Out of stock
NHC-NUP-580349,opened,2024-03-12 17:01,Riyadh First Health Cluster,126750016,Out of stock
NHC-NUP-580348,opened,2024-03-12 17:01,Riyadh First Health Cluster,551064435,Out of stock
NHC-NUP-580347,opened,2024-03-12 17:01,Riyadh Second Health Cluster,126650600,Out of stock
NHC-NUP-580346,opened,2024-03-12 17:01,Riyadh Second Health Cluster,126750125,Out of stock
NHC-NUP-580345,opened,2024-03-12 17:01,Riyadh Second Health Cluster,551066400,Out of stock
NHC-NUP-580344,opened,2024-03-12 17:00,Riyadh Second Health Cluster,126651240,Out of stock
NHC-NUP-580343,opened,2024-03-12 17:00,Riyadh Second Health Cluster,551064435,Out of stock
NHC-NUP-580342,opened,2024-03-12 17:00,Riyadh First Health Cluster,226750651,Out of stock
NHC-NUP-580341,opened,2024-03-12 17:00,Riyadh First Health Cluster,137230215,Out of stock
NHC-NUP-580340,opened,2024-03-12 17:00,Riyadh Second Health Cluster,226750650,Out of stock
NHC-NUP-580339,opened,2024-03-12 17:00,Riyadh Second Health Cluster,128220161,Out of stock
NHC-NUP-580338,opened,2024-03-12 17:00,Riyadh Second Health Cluster,126680400,Out of stock
NHC-NUP-580337,opened,2024-03-12 17:00,Riyadh Second Health Cluster,551064435,Out of stock
NHC-NUP-580336,opened,2024-03-12 17:00,Riyadh Second Health Cluster,126650600,Out of stock
NHC-NUP-580335,opened,2024-03-12 17:00,Riyadh First Health Cluster,126650036,Out of stock
NHC-NUP-580334,opened,2024-03-12 17:00,Riyadh First Health Cluster,126750125,Out of stock
NHC-NUP-580333,opened,2024-03-12 17:00,Riyadh First Health Cluster,128290116,Out of stock
NHC-NUP-580332,opened,2024-03-12 16:59,Riyadh Second Health Cluster,126750127,Out of stock
NHC-NUP-580331,opened,2024-03-12 16:59,Riyadh Third Health Cluster,226650344,Out of stock
NHC-NUP-580330,opened,2024-03-12 16:59,Riyadh Second Health Cluster,226650344,Out of stock
NHC-NUP-580329,opened,2024-03-12 16:59,Riyadh Second Health Cluster,126651240,Out of stock
NHC-NUP-580328,opened,2024-03-12 16:59,Riyadh Second Health Cluster,126720055,Out of stock
NHC-NUP-580327,opened,2024-03-12 16:59,Riyadh Second Health Cluster,126750127,Out of stock
NHC-NUP-580326,opened,2024-03-12 16:59,Riyadh Third Health Cluster,226650344,Out of stock
NHC-NUP-580325,opened,2024-03-12 16:59,Riyadh Third Health Cluster,226650344,Out of stock
NHC-NUP-580324,opened,2024-03-12 16:59,Riyadh Second Health Cluster,126650078,Out of stock
NHC-NUP-580323,opened,2024-03-12 16:59,Riyadh Second Health Cluster,126650117,Out of stock
NHC-NUP-580322,opened,2024-03-12 16:59,Riyadh Second Health Cluster,226750651,Out of stock
NHC-NUP-580321,opened,2024-03-12 16:59,Riyadh First Health Cluster,126650117,Out of stock
NHC-NUP-580320,opened,2024-03-12 16:58,Riyadh Second Health Cluster,126650036,Out of stock
NHC-NUP-580319,opened,2024-03-12 16:58,Riyadh Second Health Cluster,126650078,Out of stock
NHC-NUP-580318,opened,2024-03-12 16:58,Riyadh Second Health Cluster,551064435,Out of stock
NHC-NUP-580317,opened,2024-03-12 16:58,Riyadh Second Health Cluster,990026615,Out of stock
NHC-NUP-580316,opened,2024-03-12 16:58,Riyadh Second Health Cluster,126680583,Out of stock
NHC-NUP-580315,opened,2024-03-12 16:58,Riyadh Second Health Cluster,126651240,Out of stock
NHC-NUP-580314,opened,2024-03-12 16:58,Riyadh Second Health Cluster,226750651,Out of stock
NHC-NUP-580313,opened,2024-03-12 16:58,Riyadh First Health Cluster,226750647,Out of stock
NHC-NUP-580312,opened,2024-03-12 16:58,Riyadh First Health Cluster,126650106,Out of stock
NHC-NUP-580311,opened,2024-03-12 16:58,Riyadh Second Health Cluster,126650600,Out of stock
NHC-NUP-580310,opened,2024-03-12 16:58,Riyadh Second Health Cluster,126500079,Out of stock
NHC-NUP-580309,opened,2024-03-12 16:58,Riyadh Second Health Cluster,126650104,Out of stock
NHC-NUP-580308,opened,2024-03-12 16:57,Riyadh Second Health Cluster,126650600,Out of stock
NHC-NUP-580307,opened,2024-03-12 16:57,Riyadh Second Health Cluster,126720055,Out of stock
NHC-NUP-580306,opened,2024-03-12 16:57,Riyadh Second Health Cluster,990026615,Out of stock
NHC-NUP-580305,opened,2024-03-12 16:57,Riyadh First Health Cluster,126650104,Out of stock
NHC-NUP-580304,opened,2024-03-12 16:57,Riyadh Second Health Cluster,126500079,Out of stock
NHC-NUP-580303,opened,2024-03-12 16:57,Riyadh Second Health Cluster,226750647,Out of stock
NHC-NUP-580302,opened,2024-03-12 16:57,Riyadh Second Health Cluster,551064435,Out of stock
NHC-NUP-580301,opened,2024-03-12 16:57,Riyadh Third Health Cluster,126650600,Out of stock
NHC-NUP-580300,opened,2024-03-12 16:57,Riyadh First Health Cluster,126720055,Out of stock
NHC-NUP-580299,opened,2024-03-12 16:57,Riyadh Second Health Cluster,126650024,Out of stock
NHC-NUP-580298,opened,2024-03-12 16:57,Riyadh First Health Cluster,126651245,Out of stock
NHC-NUP-580297,opened,2024-03-12 16:56,Riyadh First Health Cluster,126650024,Out of stock
NHC-NUP-580296,opened,2024-03-12 16:56,Riyadh Second Health Cluster,126720052,Out of stock
NHC-NUP-580295,opened,2024-03-12 16:56,Riyadh First Health Cluster,126650024,Out of stock
NHC-NUP-580294,opened,2024-03-12 16:56,Riyadh First Health Cluster,126720055,Out of stock
NHC-NUP-580293,opened,2024-03-12 16:56,Riyadh Second Health Cluster,226650312,Out of stock
NHC-NUP-580292,opened,2024-03-12 16:56,Riyadh First Health Cluster,226650310,Out of stock
NHC-NUP-580291,opened,2024-03-12 16:56,Riyadh Second Health Cluster,551064435,Out of stock
NHC-NUP-580290,opened,2024-03-12 16:56,Riyadh Third Health Cluster,126651240,Out of stock
NHC-NUP-580289,opened,2024-03-12 16:56,Riyadh Third Health Cluster,126651240,Out of stock
NHC-NUP-580288,opened,2024-03-12 16:56,Riyadh Second Health Cluster,126651245,Out of stock
NHC-NUP-580287,opened,2024-03-12 16:56,Riyadh Second Health Cluster,226650312,Out of stock
NHC-NUP-580286,opened,2024-03-12 16:56,Riyadh Second Health Cluster,126750610,Out of stock
NHC-NUP-580285,opened,2024-03-12 16:55,Riyadh First Health Cluster,551064435,Out of stock
NHC-NUP-580284,opened,2024-03-12 16:55,Riyadh Second Health Cluster,126650080,Out of stock
NHC-NUP-580283,opened,2024-03-12 16:55,Riyadh Second Health Cluster,126720055,Out of stock
NHC-NUP-580282,opened,2024-03-12 16:55,Riyadh First Health Cluster,226680394,Out of stock
NHC-NUP-580281,opened,2024-03-12 16:55,Riyadh First Health Cluster,128220160,Out of stock
NHC-NUP-580280,opened,2024-03-12 16:55,Riyadh Third Health Cluster,126651245,Out of stock
NHC-NUP-580279,opened,2024-03-12 16:55,Riyadh First Health Cluster,128220160,Out of stock
NHC-NUP-580278,opened,2024-03-12 16:55,Riyadh Third Health Cluster,126651240,Out of stock
NHC-NUP-580277,opened,2024-03-12 16:55,Riyadh Second Health Cluster,126651240,Out of stock
NHC-NUP-580276,opened,2024-03-12 16:55,Riyadh Second Health Cluster,126680400,Out of stock
NHC-NUP-580275,opened,2024-03-12 16:55,Riyadh Third Health Cluster,126651245,Out of stock
NHC-NUP-580274,opened,2024-03-12 16:55,Riyadh Second Health Cluster,126500081,Out of stock
NHC-NUP-580273,opened,2024-03-12 16:54,Riyadh First Health Cluster,126750644,Out of stock
NHC-NUP-580272,opened,2024-03-12 16:54,Riyadh Second Health Cluster,126650078,Out of stock
NHC-NUP-580271,opened,2024-03-12 16:54,Riyadh Second Health Cluster,126651245,Out of stock
NHC-NUP-580270,opened,2024-03-12 16:54,Riyadh First Health Cluster,128220160,Out of stock
NHC-NUP-580269,opened,2024-03-12 16:54,Riyadh Second Health Cluster,551064435,Out of stock
NHC-NUP-580268,opened,2024-03-12 16:54,Riyadh Second Health Cluster,226650310,Out of stock
NHC-NUP-580267,opened,2024-03-12 16:54,Riyadh Second Health Cluster,126750644,Out of stock
NHC-NUP-580266,opened,2024-03-12 16:54,Riyadh Second Health Cluster,126750644,Out of stock
NHC-NUP-580265,opened,2024-03-12 16:54,Riyadh Third Health Cluster,126750644,Out of stock
NHC-NUP-580264,opened,2024-03-12 16:54,Riyadh Second Health Cluster,126650024,Out of stock
NHC-NUP-580263,opened,2024-03-12 16:54,Riyadh Second Health Cluster,126680583,Out of stock
NHC-NUP-580262,opened,2024-03-12 16:54,Riyadh First Health Cluster,128220160,Out of stock
NHC-NUP-580261,opened,2024-03-12 16:53,Riyadh Second Health Cluster,226650312,Out of stock
NHC-NUP-580260,opened,2024-03-12 16:53,Riyadh Second Health Cluster,126750644,Out of stock
NHC-NUP-580259,opened,2024-03-12 16:53,Riyadh First Health Cluster,126680556,Out of stock
NHC-NUP-580258,opened,2024-03-12 16:53,Riyadh Second Health Cluster,126680400,Out of stock
NHC-NUP-580257,opened,2024-03-12 16:53,Riyadh First Health Cluster,126650078,Out of stock
NHC-NUP-580256,opened,2024-03-12 16:53,Riyadh Second Health Cluster,126500081,Out of stock
NHC-NUP-580255,opened,2024-03-12 16:53,Riyadh Second Health Cluster,126650080,Out of stock
NHC-NUP-580254,opened,2024-03-12 16:53,Riyadh First Health Cluster,126650164,Out of stock
NHC-NUP-580253,opened,2024-03-12 16:53,Riyadh First Health Cluster,128220160,Out of stock
NHC-NUP-580252,opened,2024-03-12 16:53,Riyadh Second Health Cluster,126500079,Out of stock
NHC-NUP-580251,opened,2024-03-12 16:53,Riyadh First Health Cluster,226680394,Out of stock
NHC-NUP-580250,opened,2024-03-12 16:53,Riyadh Second Health Cluster,126680066,Out of stock
NHC-NUP-580249,opened,2024-03-12 16:52,Riyadh Third Health Cluster,226650310,Out of stock
NHC-NUP-580248,opened,2024-03-12 16:52,Riyadh Second Health Cluster,226650310,Out of stock
NHC-NUP-580247,opened,2024-03-12 16:52,Riyadh Third Health Cluster,551064435,Out of stock
NHC-NUP-580246,opened,2024-03-12 16:52,Riyadh First Health Cluster,126650080,Out of stock
NHC-NUP-580245,opened,2024-03-12 16:52,Riyadh Second Health Cluster,126650080,Out of stock
NHC-NUP-580244,opened,2024-03-12 16:52,Riyadh Third Health Cluster,126650010,Out of stock
NHC-NUP-580243,opened,2024-03-12 16:52,Riyadh Third Health Cluster,126650024,Out of stock
NHC-NUP-580242,opened,2024-03-12 16:52,Riyadh First Health Cluster,126680066,Out of stock
NHC-NUP-580241,opened,2024-03-12 16:52,Riyadh Second Health Cluster,226650312,Out of stock
NHC-NUP-580240,opened,2024-03-12 16:52,Riyadh Second Health Cluster,226650311,Out of stock
NHC-NUP-580239,opened,2024-03-12 16:52,Riyadh Second Health Cluster,226650310,Out of stock
NHC-NUP-580238,opened,2024-03-12 16:52,Riyadh Second Health Cluster,226650312,Out of stock
NHC-NUP-580237,opened,2024-03-12 16:51,Riyadh First Health Cluster,126650078,Out of stock
NHC-NUP-580236,opened,2024-03-12 16:51,Riyadh First Health Cluster,128220161,Out of stock
NHC-NUP-580235,opened,2024-03-12 16:51,Riyadh Second Health Cluster,126650024,Out of stock
NHC-NUP-580234,opened,2024-03-12 16:51,Riyadh First Health Cluster,128220160,Out of stock
NHC-NUP-580233,opened,2024-03-12 16:51,Riyadh Second Health Cluster,126650024,Out of stock
NHC-NUP-580232,opened,2024-03-12 16:51,Riyadh First Health Cluster,126750016,Out of stock
NHC-NUP-580231,opened,2024-03-12 16:51,Riyadh First Health Cluster,128220160,Out of stock
NHC-NUP-580230,opened,2024-03-12 16:51,Riyadh Second Health Cluster,226650310,Out of stock
NHC-NUP-580229,opened,2024-03-12 16:51,Riyadh First Health Cluster,128220160,Out of stock
NHC-NUP-580228,opened,2024-03-12 16:51,Riyadh Second Health Cluster,126680018,Out of stock
NHC-NUP-580227,opened,2024-03-12 16:51,Riyadh First Health Cluster,226650312,Out of stock
NHC-NUP-580226,opened,2024-03-12 16:51,Riyadh First Health Cluster,128220160,Out of stock
NHC-NUP-580225,opened,2024-03-12 16:51,Riyadh Second Health Cluster,226650312,Out of stock
NHC-NUP-580224,opened,2024-03-12 16:50,Riyadh First Health Cluster,551064435,Out of stock
NHC-NUP-580223,opened,2024-03-12 16:50,Riyadh First Health Cluster,551064435,Out of stock
NHC-NUP-580222,opened,2024-03-12 16:50,Riyadh Second Health Cluster,226650312,Out of stock
NHC-NUP-580221,opened,2024-03-12 16:50,Riyadh Third Health Cluster,226650312,Out of stock
NHC-NUP-580220,opened,2024-03-12 16:50,Riyadh First Health Cluster,126700002,Out of stock
NHC-NUP-580219,opened,2024-03-12 16:50,Riyadh Second Health Cluster,226650312,Out of stock
NHC-NUP-580218,opened,2024-03-12 16:50,Riyadh Second Health Cluster,126650016,Out of stock
NHC-NUP-580217,opened,2024-03-12 16:50,Riyadh Second Health Cluster,126650024,Out of stock
NHC-NUP-580216,opened,2024-03-12 16:50,Riyadh Second Health Cluster,128220160,Out of stock
NHC-NUP-580215,opened,2024-03-12 16:50,Riyadh First Health Cluster,226680394,Out of stock
NHC-NUP-580214,opened,2024-03-12 16:50,Riyadh Second Health Cluster,126650010,Out of stock
NHC-NUP-580213,opened,2024-03-12 16:49,Riyadh First Health Cluster,551064435,Out of stock
NHC-NUP-580212,opened,2024-03-12 16:49,Riyadh Second Health Cluster,126680072,Out of stock
NHC-NUP-580211,opened,2024-03-12 16:49,Riyadh First Health Cluster,126650036,Out of stock
NHC-NUP-580210,opened,2024-03-12 16:49,Riyadh First Health Cluster,226650311,Out of stock
NHC-NUP-580209,opened,2024-03-12 16:49,Riyadh First Health Cluster,551064435,Out of stock
NHC-NUP-580208,opened,2024-03-12 16:49,Riyadh Third Health Cluster,226650312,Out of stock
NHC-NUP-580207,opened,2024-03-12 16:49,Riyadh Second Health Cluster,126650078,Out of stock
NHC-NUP-580206,opened,2024-03-12 16:49,Riyadh Second Health Cluster,126650078,Out of stock
NHC-NUP-580205,opened,2024-03-12 16:49,Riyadh Second Health Cluster,126720150,Out of stock
NHC-NUP-580204,opened,2024-03-12 16:49,Riyadh First Health Cluster,551064435,Out of stock
NHC-NUP-580203,opened,2024-03-12 16:49,Riyadh Second Health Cluster,126650801,Out of stock
NHC-NUP-580202,opened,2024-03-12 16:49,Riyadh First Health Cluster,128220161,Out of stock
NHC-NUP-580201,opened,2024-03-12 16:48,Riyadh Second Health Cluster,126650078,Out of stock
NHC-NUP-580200,opened,2024-03-12 16:48,Riyadh Second Health Cluster,226650312,Out of stock
NHC-NUP-580199,opened,2024-03-12 16:48,Riyadh Second Health Cluster,126720092,Out of stock
NHC-NUP-580198,opened,2024-03-12 16:48,Riyadh Second Health Cluster,126650036,Out of stock
NHC-NUP-580197,opened,2024-03-12 16:48,Riyadh Third Health Cluster,126750600,Out of stock
NHC-NUP-580196,opened,2024-03-12 16:48,Riyadh Second Health Cluster,226650312,Out of stock
NHC-NUP-580195,opened,2024-03-12 16:48,Riyadh Second Health Cluster,126650036,Out of stock
NHC-NUP-580194,opened,2024-03-12 16:48,Riyadh Second Health Cluster,126750045,Out of stock
NHC-NUP-580193,opened,2024-03-12 16:48,Riyadh Second Health Cluster,226650311,Out of stock
NHC-NUP-580192,opened,2024-03-12 16:48,Riyadh Second Health Cluster,126750125,Out of stock
NHC-NUP-580191,opened,2024-03-12 16:48,Riyadh Second Health Cluster,126650048,Out of stock
NHC-NUP-580190,opened,2024-03-12 16:48,Riyadh Second Health Cluster,226650311,Out of stock
NHC-NUP-580189,opened,2024-03-12 16:47,Riyadh Second Health Cluster,126700002,Out of stock
NHC-NUP-580188,opened,2024-03-12 16:47,Riyadh Second Health Cluster,126700002,Out of stock
NHC-NUP-580187,opened,2024-03-12 16:47,Riyadh Second Health Cluster,126680086,Out of stock
NHC-NUP-580186,opened,2024-03-12 16:47,Riyadh Second Health Cluster,126750125,Out of stock
NHC-NUP-580185,opened,2024-03-12 16:47,Riyadh Second Health Cluster,126750045,Out of stock
NHC-NUP-580184,opened,2024-03-12 16:47,Riyadh Third Health Cluster,226650311,Out of stock
NHC-NUP-580183,opened,2024-03-12 16:47,Riyadh First Health Cluster,128220161,Out of stock
NHC-NUP-580182,opened,2024-03-12 16:47,Riyadh Second Health Cluster,126700002,Out of stock
NHC-NUP-580181,opened,2024-03-12 16:47,Riyadh First Health Cluster,128220160,Out of stock
NHC-NUP-580180,opened,2024-03-12 16:47,Riyadh First Health Cluster,126680086,Out of stock
NHC-NUP-580179,opened,2024-03-12 16:47,Riyadh Second Health Cluster,126680080,Out of stock
NHC-NUP-580178,opened,2024-03-12 16:47,Riyadh Second Health Cluster,126750125,Out of stock
NHC-NUP-580177,opened,2024-03-12 16:47,Riyadh Second Health Cluster,126750126,Out of stock
NHC-NUP-580176,opened,2024-03-12 16:46,Riyadh First Health Cluster,128220161,Out of stock
NHC-NUP-580175,opened,2024-03-12 16:46,Riyadh First Health Cluster,128220161,Out of stock
NHC-NUP-580174,opened,2024-03-12 16:46,Riyadh Second Health Cluster,126680086,Out of stock
NHC-NUP-580173,opened,2024-03-12 16:46,Riyadh Second Health Cluster,126650048,Out of stock
NHC-NUP-580172,opened,2024-03-12 16:46,Riyadh Second Health Cluster,126680086,Out of stock
NHC-NUP-580171,opened,2024-03-12 16:46,Riyadh First Health Cluster,226650311,Out of stock
NHC-NUP-580170,opened,2024-03-12 16:46,Riyadh Second Health Cluster,126680080,Out of stock
NHC-NUP-580169,opened,2024-03-12 16:46,Riyadh Second Health Cluster,126750045,Out of stock
NHC-NUP-580168,opened,2024-03-12 16:46,Riyadh First Health Cluster,128220161,Out of stock
NHC-NUP-580167,opened,2024-03-12 16:46,Riyadh First Health Cluster,126700002,Out of stock
NHC-NUP-580166,opened,2024-03-12 16:46,Riyadh First Health Cluster,551064435,Out of stock
NHC-NUP-580165,opened,2024-03-12 16:46,Riyadh First Health Cluster,128220161,Out of stock
